FBgn,Symbol,CG
FBgn0033010,CG3136,CG3136
FBgn0012049,BtbVII,CG11494
FBgn0004893,bowl,CG10021
FBgn0038391,GATAe,CG10278
FBgn0004606,zfh1,CG1322
FBgn0032473,CG5204,CG5204
FBgn0035454,CG12029,CG12029
FBgn0039209,CG13624,CG13624
FBgn0001180,hb,CG9786
FBgn0016917,Stat92E,CG4257
FBgn0030680,CG8944,CG8944
FBgn0042696,NfI,CG2380
FBgn0024251,bbx,CG32527
FBgn0011655,Med,CG1775
FBgn0022699,D19B,CG10270
FBgn0022720,zf30C,CG3998
FBgn0004878,cas,CG2102
FBgn0011766,E2f,CG6376
FBgn0010229,Hr39,CG8676
FBgn0035769,CTCF,CG8591
FBgn0027339,jim,CG11352
FBgn0034643,CG10321,CG10321
FBgn0035518,CG15011,CG15011
FBgn0022935,D19A,CG10269
FBgn0028420,Kr-h1,CG18783
FBgn0050420,CG30420,CG30420
FBgn0039039,lmd,CG4677
FBgn0005642,wdn,CG1454
FBgn0020617,Rx,CG10052
FBgn0000546,EcR,CG1765
FBgn0020309,crol,CG14938
FBgn0000210,br,CG11491
FBgn0030240,CG2202,CG2202
FBgn0004795,retn,CG5403
FBgn0050011,gem,CG30011
FBgn0039329,CG10669,CG10669
FBgn0037931,CG18476,CG18476
FBgn0003567,su(Hw),CG8573
FBgn0037379,CG10979,CG10979
FBgn0039169,CG5669,CG5669
FBgn0014018,Rel,CG11992
FBgn0003028,ovo,CG6824
FBgn0033491,CG18011,CG18011
FBgn0051612,CG31612,CG31612
FBgn0033288,CG11641,CG11641
FBgn0037066,Z4,CG7752
FBgn0020307,dve,CG5799
FBgn0003459,stwl,CG3836
FBgn0003715,Tkr,CG16778
FBgn0004399,psq,CG2368
FBgn0038016,MBD-R2,CG10042
FBgn0001978,stc,CG3647
FBgn0015234,HLH106,CG8522
FBgn0032940,Mio,CG18362
FBgn0026573,CG8290,CG8290
FBgn0035137,CG1233,CG1233
FBgn0036124,CG7839,CG7839
FBgn0003963,ush,CG2762
FBgn0037918,CG6791,CG6791
FBgn0037445,CG9727,CG9727
FBgn0038244,CG7987,CG7987
FBgn0050020,CG30020,CG30020
FBgn0033155,CG1845,CG1845
FBgn0034926,CG5591,CG5591
FBgn0031759,lid,CG9088
FBgn0026208,mbf1,CG4143
FBgn0053936,CG33936,CG33936
FBgn0003607,Su(var)205,CG8409
FBgn0036395,CG17361,CG17361
FBgn0010287,Trf,CG7562
FBgn0039019,HP1c,CG6990
FBgn0037183,CG14451,CG14451
FBgn0052831,CG33695,CG33695
FBgn0039816,CG11317,CG11317
FBgn0034217,Lhr,CG18468
FBgn0030933,CG6470,CG6470
FBgn0027950,MBD-like,CG8208
FBgn0030878,CG6769,CG6769
FBgn0015025,CkII&agr,-i1
FBgn0037555,Ada2b,CG9638
FBgn0000588,esc,CG14941
FBgn0034814,CG9890,CG9890
FBgn0033458,CG18446,CG18446
FBgn0033971,CG10209,CG10209
FBgn0031608,CG15435,CG15435
FBgn0031991,Rbsn,CG8506
FBgn0037771,CG11676,CG34360
FBgn0026080,Tip60,CG6121
FBgn0002780,mod,CG2050
FBgn0028931,CG16863,CG16863
FBgn0000139,ash2,CG6677
FBgn0036672,Lmpt,CG32171
FBgn0039831,CG12054,CG12054
FBgn0043472,tef,CG8961
FBgn0000543,ecd,CG5714
FBgn0000179,bi,CG3578
FBgn0037540,CG2702,CG2702
FBgn0038390,Rbf2,CG5083
FBgn0037471,Alh,CG1070
FBgn0015799,Rbf,CG7413
FBgn0020887,Su(z)12,CG8013
FBgn0003334,Scm,CG9495
FBgn0029861,CG3815,CG3815
FBgn0021767,org-1,CG11202
FBgn0000376,crm,CG2714
FBgn0003044,Pcl,CG5109
FBgn0035625,Blimp-1,CG5249
FBgn0033889,CG6701,CG6701
FBgn0027866,CG9776,CG9776
FBgn0041145,jing,CG9403
FBgn0000591,E(spl),CG8365
FBgn0038978,CG7045,CG7045
FBgn0040929,CG12659,CG12659
FBgn0004362,HmgD,CG17950
FBgn0043002,Chrac-14,CG13399
FBgn0043001,Chrac-16,CG15736
FBgn0051955,CG31955,CG31955
FBgn0034726,Mes4,CG11301
FBgn0035902,CG6683,CG6683
FBgn0034729,CG10344,CG10344
FBgn0038273,CG14860,CG14860
FBgn0027453,Dnz1,CG6627
FBgn0039369,CG17195,CG17195
FBgn0033815,CG4676,CG4676
FBgn0039367,CG17197,CG17197
FBgn0034057,CG8314,CG8314
FBgn0039366,CG17198,CG17198
FBgn0039370,CG4956,CG4956
FBgn0039932,CG11093,CG11093
FBgn0033474,CG1407,CG1407
FBgn0000412,D1,CG9745
FBgn0034202,CG17287,CG17287
FBgn0038039,CG5196,CG5196
FBgn0031495,CG17257,CG17257
FBgn0029672,CG2875,CG2875
FBgn0035414,CG14965,CG14965
FBgn0085405,CG34376,CG34376
FBgn0052264,CG32264,CG32264
FBgn0250732,gfzf,CG33546
FBgn0014949,btn,CG5264
FBgn0025334,PHDP,CG11182
FBgn0031086,CG9571,CG9571
FBgn0034821,CG9876,CG9876
FBgn0031144,CG1529,CG1529
FBgn0030432,CG4404,CG4404
FBgn0037618,CG11762,CG11762
FBgn0034599,CG9437,CG9437
FBgn0014467,CrebB-17A,CG6103
FBgn0004863,C15,CG7937
FBgn0043364,cbt,CG4427
FBgn0030963,CG7101,CG7101
FBgn0023489,Pph13,CG2819
FBgn0028789,Doc1,CG5133
FBgn0023094,cyc,CG8727
FBgn0001170,H2.0,CG11607
FBgn0003995,vvl,CG10037
FBgn0001148,gsb,CG3388
FBgn0029928,CG3032,CG3032
FBgn0052006,CG32006,CG32006
FBgn0004567,slp2,CG2939
FBgn0004896,fd59A,CG3668
FBgn0001981,esg,CG3758
FBgn0000659,fkh,CG10002
FBgn0034946,CG3065,CG3065
FBgn0035405,pfk,CG15812
FBgn0005659,Ets98B,CG5583
FBgn0010768,sqz,CG5557
FBgn0034379,CG15073,CG15073
FBgn0040305,MTF-1,CG3743
FBgn0033627,CG13204,CG13204
FBgn0003002,opa,CG1133
FBgn0003118,pnt,CG17077
FBgn0033252,CG12769,CG12769
FBgn0015664,Dref,CG5838
FBgn0032730,CG10431,CG10431
FBgn0005613,Sox15,CG8404
FBgn0013469,klu,CG12296
FBgn0029775,CG4136,CG4136
FBgn0028991,seq,CG4055
FBgn0004394,pdm2,CG12287
FBgn0035895,Unr,CG7015
FBgn0000287,salr,CG4881
FBgn0031071,CG12701,CG12701
FBgn0010328,woc,CG5965
FBgn0004054,zen2,CG1048
FBgn0015299,Ssb-c31a,CG8396
FBgn0051875,CG31875,CG31875
FBgn0040355,CG3526,CG3526
FBgn0030082,HP1b,CG7041
FBgn0051835,CG31835,CG31835
FBgn0042205,CG18764,CG18764
FBgn0015721,king-tubby,CG9398
FBgn0030012,CG18262,CG18262
FBgn0033015,d4,CG2682
FBgn0028531,CG15286,CG15286
FBgn0027599,CG2790,CG2790
FBgn0037051,CG10565,CG10565
FBgn0004401,Pep,CG6143
FBgn0032512,CG9305,CG9305
FBgn0035024,CG11414,CG11414
FBgn0032388,CG6686,CG6686
FBgn0015371,chn,CG11798
FBgn0013948,Eip93F,CG18389
FBgn0050426,egg,CG12196
FBgn0036725,CG18265,CG18265
FBgn0037751,topi,CG8484
FBgn0038979,CG7046,CG7046
FBgn0000591,E(spl),CG8365
FBgn0028926,NC2&bgr,CG4185
FBgn0034096,CG7786,CG7786
FBgn0013755,Bro,CG7960
FBgn0016970,l(2)k10201,CG13951
FBgn0030664,CG8119,CG8119
FBgn0010433,ato,CG7508
FBgn0000411,D,CG5893
FBgn0036791,CG7271,CG7271
FBgn0053221,CG33221,CG33221
FBgn0035643,CG13287,CG13287
FBgn0038047,CG5245,CG5245
FBgn0000964,tj,CG10034
FBgn0037645,CG11966,CG11966
FBgn0034667,comr,CG13493
FBgn0033993,CG8089,CG8089
FBgn0024250,brk,CG9653
FBgn0000413,da,CG5102
FBgn0051510,CG31510,CG31510
FBgn0053557,CG33557,CG33557
FBgn0037436,Hr83,CG10296
FBgn0038402,Fer2,CG5952
FBgn0000157,Dll,CG3629
FBgn0038851,dmrt93B,CG5737
FBgn0014467,CrebB-17A,CG6103
FBgn0002922,nau,CG10250
FBgn0030005,CG2120,CG2120
FBgn0037620,CG9793,CG9793
FBgn0002931,net,CG11450
FBgn0004895,fd64A,CG1132
FBgn0000606,eve,CG2328
FBgn0037619,CG8159,CG8159
FBgn0003339,Scr,CG1030
FBgn0027788,Hey,CG11194
FBgn0003345,sd,CG8544
FBgn0004510,Ets97D,CG6338
FBgn0038592,CG18599,CG18599
FBgn0011278,lbe,CG6545
FBgn0003900,twi,CG2956
FBgn0001325,Kr,CG3340
FBgn0014179,gcm,CG12245
FBgn0003300,run,CG1849
FBgn0002023,Lim3,CG10699
FBgn0020378,Sp1,CG1343
FBgn0008646,E5,CG9930
FBgn0024288,Sox100B,CG15552
FBgn0036274,CG4328,CG4328
FBgn0010768,sqz,CG5557
FBgn0000018,abo,CG6093
FBgn0027514,CG1024,CG1024
FBgn0003117,pnr,CG3978
FBgn0052772,CG32772,CG32772
FBgn0030316,CG11695,CG11695
FBgn0029173,fu2,CG9233
FBgn0031894,CG4496,CG4496
FBgn0033183,CG1620,CG1620
FBgn0019809,gcm2,CG3858
FBgn0031874,CG13775,CG13775
FBgn0001994,crp,CG7664
FBgn0011774,Irbp,CG5247
FBgn0014343,mirr,CG10601
FBgn0037655,CG11984,CG11984
FBgn0000233,btd,CG12653
FBgn0052121,CG32121,CG32121
FBgn0002941,slou,CG6534
FBgn0000625,eyg,CG10488
FBgn0015381,dsf,CG9019
FBgn0029920,CG4575,CG4575
FBgn0037584,CG7963,CG7963
FBgn0037923,CG6813,CG6813
FBgn0038852,CG7056,CG7056
FBgn0030477,dmrt11E,CG15749
FBgn0032227,CG5369,CG5369
FBgn0038661,CG17836,CG17836
FBgn0032978,CG15216,CG15216
FBgn0005660,Ets21C,CG2914
FBgn0004102,oc,CG12154
FBgn0051642,CG31642,CG31642
FBgn0014858,Hmx,CG5832
FBgn0031597,CG17612,CG17612
FBgn0016076,vri,CG14029
FBgn0003507,srp,CG3992
FBgn0005427,ewg,CG3114
FBgn0029939,CG9650,CG9650
FBgn0005561,sv,CG11049
FBgn0000011,ab,CG4807
FBgn0033846,mip120,CG6061
FBgn0004652,fru,CG14307
FBgn0039905,CG2052,CG2052
FBgn0030505,NFAT,CG11172
FBgn0015371,chn,CG11798
FBgn0052767,CG32767,CG32767
FBgn0051258,Cenp-C,CG31258
FBgn0028647,CG11902,CG11902
FBgn0028887,CG3491,CG3491
FBgn0003053,peb,CG12212
FBgn0036538,CG15715,CG15715
FBgn0021738,Crg-1,CG32788
FBgn0050077,CG30077,CG30077
FBgn0032209,Hand,CG18144
FBgn0051169,CG31169,CG31169
FBgn0036331,CG14117,CG14117
FBgn0000015,Abd-B,CG11648
FBgn0034810,CG9895,CG9895
FBgn0035160,CG13897,CG13897
FBgn0038128,Ravus,CG15889
FBgn0008651,lbl,CG6570
FBgn0034520,CG13424,CG13424
FBgn0003460,so,CG11121
FBgn0052830,CG32830,CG32830
FBgn0038767,trem,CG4413
FBgn0051392,CG31392,CG31392
FBgn0037031,CG11456,CG11456
FBgn0028993,scro,CG17594
FBgn0004396,CrebA,CG7450
FBgn0029822,CG12236,CG12236
FBgn0001319,kn,CG10197
FBgn0039938,Sox102F,CG11153
FBgn0034012,CG16801,CG16801
FBgn0000439,Dfd,CG2189
FBgn0028878,CG15269,CG15269
FBgn0028550,A3-3,CG11405
FBgn0030965,CG34422,CG34422
FBgn0004880,scrt,CG1130
FBgn0005558,ey,CG1464
FBgn0051782,CG31782,CG31782
FBgn0031124,CG34145,CG34145
FBgn0011274,Dif,CG6794
FBgn0005612,Sox14,CG3090
FBgn0035903,CG6765,CG6765
FBgn0030627,gce,CG6211
FBgn0031510,CG34406,CG34406
FBgn0001222,Hsf,CG5748
FBgn0041105,nerfin-2,CG12809
FBgn0011723,byn,CG7260
FBgn0037813,cwo,CG17100
FBgn0002723,Met,CG1705
FBgn0015904,ara,CG10571
FBgn0024321,NK7.1,CG8524
FBgn0003986,vnd,CG6172
FBgn0052532,CG32532,CG32532
FBgn0039201,CG13617,CG13617
FBgn0036134,Mnf,CG11799
FBgn0035292,CG12361,CG42234
FBgn0051632,sens-2,CG31632
FBgn0039078,CG4374,CG4374
FBgn0051481,pb,CG31481
FBgn0030532,CG11071,CG11071
FBgn0001078,ftz-f1,CG4059
FBgn0028387,chm,CG5229
FBgn0032815,CG10462,CG10462
FBgn0002576,lz,CG1689
FBgn0032223,GATAd,CG5034
FBgn0033310,rgr,CG8643
FBgn0004865,Eip78C,CG18023
FBgn0027951,MTA1-like,CG2244
FBgn0000567,Eip74EF,CG32180
FBgn0003513,ss,CG6993
FBgn0039411,dys,CG32474
FBgn0032904,Mtp,CG9342
FBgn0034570,CG10543,CG10543
FBgn0020379,Rfx,CG6312
FBgn0052778,CG32778,CG32778
FBgn0003499,sr,CG7847
FBgn0038418,pad,CG10309
FBgn0003749,trh,CG6883
FBgn0003263,rn,CG42277
FBgn0003866,tsh,CG1374
FBgn0036522,CG7372,CG7372
FBgn0004870,bab1,CG9097
FBgn0045852,ham,CG31753
FBgn0005596,yemα,CG14513
FBgn0030065,CG12075,CG12075
FBgn0023076,Clk,CG7391
FBgn0028979,tio,CG12630
FBgn0025525,bab2,CG9102
FBgn0014859,Hr38,CG1864
FBgn0005677,dac,CG4952
FBgn0028996,onecut,CG1922
FBgn0085375,mamo,CG34346
FBgn0023097,bon,CG5206
FBgn0029895,CG14441,CG14441
FBgn0035357,CG1244,CG1244
FBgn0000568,Eip75B,CG8127
FBgn0052719,CG32719,CG32719
FBgn0039602,CG1647,CG1647
FBgn0031967,Snoo,CG34421
FBgn0033939,Oaz,CG17390
FBgn0003598,Su(var)3-7,CG8599
FBgn0029504,CHES-1-like,CG12690
FBgn0042650,disco-r,CG32577
FBgn0004579,salm,CG6464
FBgn0037659,CG11033,CG11033
FBgn0008654,Su(z)2,CG3905
FBgn0004859,ci,CG2125
FBgn0039530,Tusp,CG5586
FBgn0028386,cic,CG5067
FBgn0001206,Hmr,CG1619
FBgn0052296,Mrtf,CG32296
FBgn0015542,sima,CG7951
FBgn0023546,Hr4,CG16902
FBgn0016754,sba,CG13598
FBgn0004861,ph-p,CG18412
FBgn0005624,Psc,CG3886
FBgn0041111,lilli,CG8817
FBgn0051224,CG31224,CG31224
FBgn0004595,pros,CG17228
FBgn0030112,CG12124,CG12124
FBgn0032517,CG7099,CG7099
FBgn0039211,mld,CG34100
FBgn0010825,Gug,CG6964
FBgn0037698,CG16779,CG16779
FBgn0013591,Mi-2,CG8103
FBgn0033417,Camta,CG42332
FBgn0031023,CG14200,CG14200
FBgn0030219,CG9817,CG9817
FBgn0041092,tai,CG13109
FBgn0032469,CG9932,CG9932
FBgn0034240,MESR4,CG4903
FBgn0005386,ash1,CG8887
FBgn0026575,hang,CG32575
FBgn0036004,CG3654,CG3654
FBgn0023518,trr,CG3848
FBgn0038108,CG7518,CG7518
FBgn0020306,dom,CG9696
FBgn0003396,shn,CG7734
FBgn0000541,E(bx),CG32346
FBgn0004607,zfh2,CG1449
FBgn0015624,nej,CG15319
FBgn0029899,CG14438,CG14438
FBgn0030266,CG11122,CG11122
FBgn0003862,trx,CG8651
FBgn0032817,CG10631,CG10631
FBgn0013751,Awh,CG1072
FBgn0017578,Max,CG9648
FBgn0000504,dsx,CG11094
FBgn0037120,CG11247,CG11247
FBgn0032401,CG6792,CG6792
FBgn0037876,CG4820,CG4820
FBgn0031121,CG15455,CG15455
FBgn0004110,tin,CG7895
FBgn0001150,gt,CG7952
FBgn0000462,dl,CG6667
FBgn0033358,CG8216,CG8216
FBgn0033185,CG1603,CG1603
FBgn0035691,CG7386,CG7386
